font_id,comfortaa
menu_thanks_n,"Esta é a saída dos exploradores peritos.+newline++newline+Você tem o meu maior respeito por chegar até aqui.+newline++newline+Eu, por este meio, te promovo a classe de Pesquisador Senior da Subnet.+newline++newline+A sua tarefa foi concluída, mas questões ainda perduram.+newline+Você ainda pode ter suas próprias teorias - compartilhe-as.+newline++newline+Submachine não há mais segredos que você ainda possa descobrir,+newline+não há mais quebra-cabeças para resolver... neste aglomerado da Subnet.+newline++newline++newline+Te vejo em Submachine: the Engine.+newline++newline++newline+Mateusz Skutnik"
menu_thanks_tomb,[@archive] :: Seção opcional completada.+newline+[@archive] :: Dados foram coletados.+newline+[@archive] :: As coordenadas do novo monolito foram arquivadas.+newline+[@archive] :: Um novo caminho monolítico foi desbloqueado.+newline+[@archive] :: Obrigado por sua cooperação.
menu_thanks_tomb_no_mono,[@archive] :: Seção opcional completada.+newline+[@archive] :: Dados foram coletados.+newline+[@archive] :: Obrigado por sua cooperação.
tut_interact,interagir
tut_open_door,abrir porta
tut_pull_lever,puxar alavanca
tut_enter_door,entrar
tut_collect_item,coletar item
tut_open_inventory,abrir inventário
tut_take_item,pegar item do inventário
tut_use_item,usar item do inventário
tut_edge,atravessar espaços abertos
note_s1_diary_1,"No último verão, eu finalmente pude peregrinar para as cachoeiras de Kent. Essa jornada foi muito positiva, mas apenas algumas poucas pessoas reconheceram isso.+newline++newline+Apesar de ter perdido o meu braço esquerdo, eu ganhei um terceiro braço. Um braço invisível. Desde então eu comecei a aprender a usar meu braço de carma, e em breve me aperfeiçoarei em seu uso.+newline++newline+Não foi uma surpresa para mim quando as pessoas começaram a virar-me as costas. Eu fui considerado um risco para a nossa sociedade,+newline+um perigo para a própria Estrutura.+newline++newline+Não consigo explicar porque isso simplesmente não é verdade. Eu conheço mentes mais poderosas que a minha que ponderaram os Conceitos Sagrados do uso da energia cármica. Eu sei disso. Mas essas pessoas não chegaram ao estado em que me encontro agora.+newline++newline+Como eu posso explicar?"
note_s1_variations,"- Então... foi aqui que tudo começou?+newline+- Sim e não. Esta é uma das novas variações deste lugar. Eu acho que é a oitava, ou nona.+newline+- Nós não mantemos todas as variações arquivadas?+newline+- Sim, com certeza. Mas esses arquivos também flutuam durante as transformações.+newline+- Isso significa que... nós não temos arquivos confiáveis?+newline+- Bom, as coisas ficaram um pouco embaçadas quando voltamos à Primeira Transformação.+newline+- E então, como podemos ter certeza?+newline+- Não podemos. Somente ele pode.+newline+- Como?+newline+- A memória humana, apesar de ser a fonte de dados menos confiável, não flutua durante as Transformações."
note_s2_diary_2,"E então estou querendo apenas viver minha vida pacificamente, sem perturbar ninguém.+newline++newline+O trabalho de mantenedor de faróis pareceu se encaixar comigo. Eu queria passar o resto da minha vida nesse farol.+newline++newline+Depois de cinco meses, meu isolamento veio ao fim quando eles decidiram enterrar esta instalação. Meu pior medo sempre foi de ser enterrado vivo. Mas e quanto a ser enterreado vivo dentro de um edifícil?+newline++newline+Eu não queria correr nenhum risco.+newline++newline+Estou indo embora hoje. Para aqueles que estão me perseguindo: descupe...+newline++newline+Atenciosamente, Mur. "
note_s2_letter_to_liz,"Cara Elizabeth,+newline++newline+Nem mesmo nos meus sonhos mais esquisitos eu pensaria que seria capaz de criar caminhos entre dimensões, levando a lugares inexplorados. Meu experimento mais recente me levou diretamente para debaixo do farol, nos restos enterrerados da construção original.+newline++newline+A partir de agora você pode me chamar de explorador. Eu só usei um fragmento cristalino que encontrei recentemente como fonte de energia.+newline++newline+Imagine os lugares que poderíamos ir usando todo o poder da luz do farol. Estou ponderando me mudar para outro lugar nos próximos 32 dias.+newline++newline+Você pode cuidar de Einstein para mim?+newline++newline++newline+Cordialmente, M."
note_s2_cat,"Hoje aconteceu a coisa mais esquisita.+newline++newline+Quando acordei, havia um gato preto dentro do farol. Eu lembro claramente de ter fechado todas as portas e janelas antes de ir dormir - mas - ali ele estava. Não faço ideia de como ele entrou. Isso me incomoda.+newline++newline+Eu o nomeei de Einstein, visto que ele aparentemente é capaz de quebrar as barreiras do espaço-tempo sempre que desejar. O que todos os gatos fazem, provavelmente, mas esse em particular fez isso bem na frente dos meus olhos. Bem, não exatamente, mas é inegável que ele está aqui agora.+newline++newline+Fiquei pensando se isso tem algo a ver com a minha habilidade de criar portais entre dimensões com o meu braço de carma.+newline++newline+Acho que veremos com o tempo. "
note_s2_self,Einstein se foi.+newline++newline+De novo.+newline++newline+Estou farto disso. Nota para mim mesmo - parar de se preocupar com essa droga de gato.
note_s2_portal,"E então aqui está.+newline+Eu fiz um portal aqui, mas ele não é estável. Eu vou usá-lo, mesmo que não consiga te dizer onde que eu vou parar.+newline++newline+Sinta-se livre para usá-lo quando quiser, mas lembre-se que o número de possíveis destinos está além da mais brava imaginação.+newline++newline+Ou estou somente te dando uma alternativa para escapar deste farol.+newline++newline+De qualquer forma - decida-se se você vai usar o portal ou não.+newline++newline++newline+m "
note_s2_artifacts,"Armazém de artefatos protótipos da Primeira Era.+newline++newline+Lista de objetos anteriores à mutação:+newline++newline+1. radio layer changer, discontinued+newline+2. single view paper photograph displayer, discontinued+newline+3. 72 angle protection portal stabiliser+newline+4. paired-shard crystalline transformer, discontinued+newline+5. 3-ring transporter, discontinued+newline+6. display machine of unknown use"
note_s3_cycle,As salas resetam a cada ciclo.+newline+A bússola vai reaparecer em breve.+newline++newline+Se apenas eu soubesse em qual ciclo estou...
note_s3_mark,Ele falou para fazer uma marca neste papel toda vez que eu passar.
note_s3_stroll,Nunca perambule muito longe do centro.+newline+Nunca.+newline++newline+Uma vez eu tinha uma companheira.+newline+Ela falou que queria verificar o quão longe essas salas podem ir.+newline++newline+Eu nunca mais a vi novamente.
note_s3_loop,"Já percebeu que a cada quebra-cabeça resolvido, você está afundando cada vez mais?+newline++newline+Não parece um bom plano de escape. A máquina como um todo é uma enorme armadilha. Para escapar, você deve primeiro parar de resolver esses quebra-cabeças ou você ficará neste loop eternamente. O loop não tem limites, sem fim nem começo. É o pior lugar em que você pode se encontrar depois de se teleportar do farol.+newline++newline+O que eu quero que você faça: Não ative o mecanismo em [0, 0]. Ao invés disso, procure por uma folha verde, e traga-a ao estabilizador em [-12, 9]. Isso deve te desconectar do loop. Nesse caso você deve aterrissar no laboratório, ou em algum lugar próximo. Boa sorte!+newline++newline+Mur."
note_s4_coords,"Coordenadas dos locais conhecidos:+newline++newline+laboratório :: x = 0, y = 0, z = 1;+newline+seção antiga :: x = 1, y = 0, z = 4;+newline+armadilhas em loop :: x = 6, y = 9, z = 0;+newline+seção do porão :: x = 5, y = 2, z = 9;+newline+escavações do farol :: x = 4, y = 6, z = 2;+newline+armadilha nas tumbas :: x = 7, y = 7, z = 0;+newline+o navio :: x = 8, y = 0, z = 0;+newline++newline+Quatro equipes estão explorando+newline+outras conexões desconhecidas."
note_s4_lab_1,Inicialmente pensávamos que só existia um submachine.+newline++newline+E então Murtaugh chegou e nos mostrou a verdade. A habilidade dele de criar portais cármicos entre regiões o possibilitou explorar mais de um terço da Rede. Ele levou 32 anos para fazer isso.+newline++newline++newline+O quão bobos fomos nesses últimos anos...
note_s4_lab_2,"Usando a tecnologia de Murtaugh, nós fomos capazes de construir nossos próprios teleportadores para mover entre dimensões.+newline++newline+Nós temos o laboratório montado, temos equipes de exploração e reconhecimento, nós vamos em missões adentrando na Rede tentando descobrir novos lugares e estruturas deste grande quebra-cabeça.+newline++newline+Murtaugh uma vez disse que não há grande quebra-cabeça, nenhum grande plano, e que ninguém está controlando o submachine. Mas pensamos o contrário. Deve haver algum propósito para todas as coisas. Nós só temos que encontrá-lo. Eu pensei que tudo isso era possível, mas desde que Murtaugh nos abandonou, não temos mais certeza.+newline++newline+Mas nós encontramos o nosso propósito, vemos claramente.+newline++newline++newline+Não é?"
note_s4_fluid,"Se o fluido da máquina acabar,+newline+aqui está a receita para um fluido improvisado.+newline+Pegue esses ingredientes e ferva-os na água:+newline++newline+- sabonete comum+newline+- solução de óxido de ferro+newline+- algumas naftalinas+newline++newline+Afunile a solução dentro da máquina. Deve funcionar. Poderia, por favor, informar à equipe de manutenção que estamos em uma escassez de fluidos?+newline++newline+Obrigado!+newline+Bunny."
note_s4_portal,"Nossa missão só começou. Murtaugh nos ensinou a necessidade de escrever notas e largá-las nos lugares em que foram feitas. Isso é para deixar um rastro caso alguém se perca. Mas todos nós somos muito bem treinados, nada de ruim pode acontecer. Não agora.+newline++newline+Isso é só para garantir. Nós estamos nos movendo para a seção do navio: nossa missão é chegar ao convés superior do navio.+newline++newline++newline+Fim de transmissão."
note_s4_coil,"Nós nem começamos a explorar essa antiga seção e nossa bobina já está sem energia.+newline++newline+Alguém provavelmente esqueceu de recarregá-la. Mas a situação é séria.+newline++newline+Nós não sabemos os números da seção do porão. As coordenadas estão na nossa sede, e claramente não podemos voltar atrás.+newline++newline++newline+Nós vamos tentar fazer saltos cegos assim que conseguirmos uma conexão, mas onde iremos parar, simplesmente não sei."
note_s4_basement,"Murtaugh nos visitou hoje. Ele falou que devido ao fato de não termos conseguido carregar o laser para quebrar o Orbe, ele está retornando-o para sua posição original.+newline++newline+Que legal.+newline++newline+Além disso, recebemos uma mensagem do time de exploração da seção antiga dois dias atrás. Não consigo dizer porque eles começaram a tentar saltos cegos e encontraram uma coordenada. 551, uma espécie de sala de tijolos ou algo parecido. Como se isso importasse. Afinal nós não os veremos mais novamente."
note_s4_broken,"Nossa bobina está quebrada, e não temos uma de reserva. Agora não serve para absolutamente nada.+newline++newline+Toda aquela luta com essas malditas máquinas. Há mesmo algum tipo de mundo normal fora dessa bagunça sem fim? De novo e de novo, sem começo nem fim. Qual o nome dele mesmo? Aquele homem de um braço só? Esqueci até isso.+newline++newline+Desisto. Não me importo mais."
note_s4_human,"Você já percebeu que você nunca encontrou sequer um sinal de presença humana nas submachines? Não importando qual delas? Mas há pelo menos quatro times perambulando pela vasta rede do submachine. E provavelmente tem outras pessoas também. Quais as chances de nunca encontrar alguém aqui?+newline++newline+Mas por outro lado, quais as chances de encontrar formas de vida alienlígena no universo?"
note_s4_ship,"Prescindível essa equipe.+newline++newline+Onde eu ouvi isso? Da companhia, ou ainda de um escalão mais alto? deixa pra lá... Nesse meio tempo, tentamos quase todas as formas possíveis de desbloquear essa maldita escada. Essa tranca simplesmente não abre. A nossa última alternativa é explodí-la. Estamos ajeitando os cabos agora, e com sorte alguém de nós sobreviverá e finalmente verá o que há no convés superior deste navio. Eu vou escrever outra nota logo após a explosão, isto se conseguirmos sobreviver."
note_s4_bunny,"Estou presa, me ajuda!+newline++newline+Eu cheguei até a sala do portal no laboratório, e então encontrei a bobina na seção antiga mas não sei o que fazer depois. Eu vi que pessoas estão deixando papeis por onde passam, então se alguém puder me ajudar...+newline++newline+Estou muito confusa, toda vez que eu encontro um item eu tenho que vaguear pelas submachines procurando um uso para ele. Agora estou muito cansada. Por favor, me ajuda!+newline++newline+sunshine_bunnygirl_17"
note_s4_loop,"Eu já estive aqui antes!+newline++newline+Eu lembro dessas malditas salas em loop. Se eu pudesse apenas lembrar o que era tudo isso. Uma máquina desbloqueando mais conexões, uma bússola me mostrando coordenadas...+newline+Sim! Era tudo sobre coordenadas! Mas aqui não há mais a bússola.+newline++newline++newline+O que fazer?..."
note_s4_clues,"Sem pistas.+newline++newline+Sem pistas.+newline++newline+Espere,+newline+o que eu estava fazendo aqui?"
note_s4_water,"Preciso de água. Tenho que encontrar água. Não muito, uma gota deve ser suficiente. Só uma gota de água. Tudo o que vejo é areia,+newline+32 câmaras preenchidas de areia.+newline++newline+Anotar as coordenadas, ele falou. Queria ter feito isso. Eu preciso de água.+newline++newline++newline+Só uma gota..."
note_s5_approval,"Parabéns, você passou sem falhar pelos testes. Sua utilidade foi positivamente considerada. Você pode começar a trabalhar no laboratório amanhã.+newline++newline+Aguarde por mais instruções."
note_s5_assign,"Primeira tarefa:+newline++newline+- recuperar três fragmentos cristalinos de energia perdidos durante anos na subrede. Esses artefatos, elaborados na primeira era por um inventor desconhecido são as únicas fontes de energia usáveis no pináculo situado no corredor.+newline+Esse local pode ser acessado em [7-4-7].+newline++newline+- carregue a máquina.+newline++newline+- investigue a parte externa da rede.+newline++newline+- retorne ileso."
note_s5_mail,"Olá.+newline+Dormiu bem?+newline++newline+Eu tenho uma tarefa para você.+newline+Você parece ser a nossa melhor escolha para esse trabalho, já que o seu treino envolveu lidar com esses cristais de energia. Você tem que monitorar suas ações e recuperá-los.+newline+A forma mais fácil é acessar a base raíz e começar de lá.+newline+As coordenadas da raíz são: [5, 5, 2].+newline+Seu IP me diz que você atualmente está na seção do laboratório as com coordenadas [0, 3, 8].+newline+Boa sorte.+newline++newline+Murtaugh"
note_s6_pointless,"Well, that's it...+newline++newline+I see no point in holding on any longer.+newline++newline+No one's coming, I've been a fool all this time.+newline++newline++newline++newline+Pointless..."
note_s6_protocol,"Do not mess with protocols.+newline++newline++newline+If you do, they will lock you inside.+newline+I've seen that happen before.+newline++newline+That's not a good way to die out here.+newline++newline+Anyway, I've had enough.+newline+I'm not going in there anymore."
note_s6_he,"Did he tell you that you were the first one sent out here?+newline++newline+Well, news flash, my friend..."
note_s6_sent,"I was sent here by Murtaugh.+newline++newline+Of course, who else.+newline++newline+My objective was to disable the defense systems, so the invasion could reach the core of the subnet. I know that I wasn't the first one sent out here. I know there were at least 5 people before me.+newline++newline+And as hard as it might be to hear, you have to hear this:+newline++newline++newline+Just as I wasn't the first here, you probably won't be the last."
note_s6_lies,don't believe in his lies.+newline++newline++newline++newline++newline++newline+
note_s6_game,"I never thought that playing in Murtaugh's game would lead me here.+newline++newline+I never thought I would have to make a choice. I was just following his orders. Right now it's too late for me to change sides. For you as well, probably.+newline++newline+But if you have a chance...+newline++newline+Find Liz. She will guide you. If he's the explorer, she's the solver."
note_s6_prototype,"Transporter prototype 2/32.+newline++newline+Prototype developed for transportation of maintenance units between different sections of the subnet.+newline++newline+The prototype came into contact with the human factor and was reverse-engineered in order to transport humans.+newline++newline+Primary function deleted.+newline++newline+As a main factor in the infestation spread, the prototype was considered a failure."
note_s7_entry_point,Note to self.+newline+Possible entry points failed.+newline+Check on [291].+newline++newline++newline+Good feeling about this one.
note_s7_garden,How could they have possibly known?+newline++newline+How could they mimic the structure of the subnet so accurately within simple garden plans?...+newline++newline+This is completely baffling.+newline++newline++newline+L.
note_s7_collapse,"So when things started to collapse, why did certain bits and pieces get left behind?+newline++newline+They just stayed in place...+newline+And why those in particular?+newline++newline++newline+L."
note_s7_sociopath,Why does this sociopath+newline+talk only to Elizabeth?
note_s7_portal,"Now you know how Murtaugh's karma portals work. You just used one. They can in fact transport you through different dimensions.+newline++newline+However the ones drawn within the core are... short range. Those were the first ones he has ever drawn. A test. Baby steps if you will.+newline++newline+Now that you used one - please, do not use them anymore. They shatter the fabric of this dimension. Murtaugh neglected that fact and... Just look around where we ended...+newline++newline++newline+L."
note_s7_dock,"I know it is kind of ironic to dock my laboratory out here in the ruins of the winter palace.+newline++newline+The king always wanted this palace to become a safe haven for people of science.+newline++newline+Here I am, my king.+newline++newline++newline+L."
note_s7_loop,"If the subnet is the universe,+newline+then the loops are black holes."
note_s7_book,"[...]+newline+The Fourth Dynasty at the peak of its cultural and technological development was able to create the first man-made submachine structure. That was around the beginning of the twentieth century and is now considered the birthdate of the outer ring.+newline++newline++newline+Those first structures were merely flawed copies of the original structures, but in time they grew into something completely autonomous. Attempts to chart new territories failed miserably leaving the vast submachine wilderness to its own.+newline+[...]"
note_s7_plan,"Once the great scheme of things was clearly visible through the layers of seven main dimensions.+newline++newline+Now, due to corrosion, collapse and spontaneous growth of the outer ring the plan is almost unrecognizable.+newline++newline+We humans deserted the outer ring, and the outer ring responded with deserting us.+newline++newline+Nothing but decay ensues.+newline++newline++newline+The plan is lost."
note_s7_liz,"Hello.+newline+My name is Elizabeth.+newline+Welcome to my temple of solitude.+newline++newline+There is a great chance that you wandered here after being tested by Murtaugh. If that is the case, I am very sorry that I couldn't get to you before him. It must have been tough on you to get through all his traps, tests and tasks to fulfill. However - worry no more. If you can't find me in the garden, then I am at my laboratory and will be joining you shortly.+newline++newline+Please wait patiently here and try not to touch anything.+newline++newline+Thank you.+newline++newline++newline+L."
note_s7_reason,It's no wonder they wanted to bury this whole lighthouse with him still inside.+newline++newline+The collapse death toll was growing exponentially.+newline++newline++newline+L.
note_s7_letter,"My dear Elizabeth.+newline++newline+Even in my strangest dreams I never thought I would be able to create cross-dimensional pathways leading to new unexplored places. My new experiment took me right below the lighthouse straight into the buried remains of the original construction.+newline++newline+You can call me a discoverer from now on. Mind you, I only used a crystalline shard I found lately as a source of energy.+newline++newline+Imagine where we could possibly go using the lighthouse itself and its full power of light. I'm considering moving to another place in the next 32 days.+newline++newline+Will you take care of Einstein for me?+newline++newline++newline+Yours, M."
note_s7_re,"Dear Murtaugh.+newline++newline+I understand your desire to build another karma portal within the lighthouse. I urge you not to do this. Once you leave the core no one knows where you'll end up. The outer ring is endless. No one knows what types of mutations of submachines grew out there.+newline++newline+I will take care of Einstein, but remember this. Once you step through that portal - you can never go back.+newline++newline+The core will be forever lost to you.+newline++newline+L."
note_s7_man,Once there was a man who said he knew what was happening after Murtaugh left.+newline++newline++newline+Since then that man left us as well.
note_s7_enlightenment,I finally understood how they could mimic the structure of the subnet within a garden...+newline++newline+They didn't have to mimic. They were already living inside the subnet.+newline++newline+L.
note_s7_final,"I can hear Murtaugh breaching the defenses of my ship. It is high time for me to leave this dimension.+newline++newline+I'm sorry I couldn't wait for you any longer, but I fear that with one more karma portal placed this dimension will collapse entirely.+newline++newline+I know what he wants to do. I know why he came back to the core. He's after those who buried him alive in that lighthouse.+newline++newline+I have to warn them. I have to get to the fifth layer. I wish you could follow me but I have only one rescue pod left.+newline++newline+I am sorry.+newline+Elizabeth."
note_s8_direction,"transcript 17 / 38+newline++newline++newline+Liz: You can create dimensional portals while being inside of such a portal?+newline++newline+Murtaugh: Yes, I can.+newline++newline+Liz: And when you do, what happens then?+newline++newline+Murtaugh: ... You change direction...+newline++newline+Liz: Direction of what?+newline++newline+Murtaugh: Of everything."
note_s8_why,"I clearly remember the day it all ended. It was not long after computer processing power exceeded that of the human brain. Many thought that this was the turning point, but not so. The moment came a bit later. I remember, because I was there, when we asked the biggest question. The one we've been struggling with for millennia.+newline++newline+Why are we?+newline++newline+But this time the question wasn't directed at us. We asked the computer. And that was the turning point in the history of humanity. That exact moment. Once we acknowledged that we're not the most evolved structure on our planet, once we passed the torch, our purpose diminished. Did we expect the computer to fry under the heaviest of questions? Of course. So you can imagine our surprise, when this happened.+newline++newline+The computer answered the question."
note_s8_where,- Where are you?+newline+- I'm standing right next to you. Can't you see me?+newline+- No.+newline+- Let's compare our geotags once more.+newline+- Something's off. We are at the same location. But...+newline+- Where are you?
note_s8_mur,Murtaugh is coming back.+newline+We should go.+newline++newline+We should go now.
note_s8_shape,- But why the boundaries. Why this particular shape?+newline++newline+- The idea is to give you a glimpse of the plan. Just a glimpse. Seeing it in all its glory would blind your mind.
note_s8_toy,- This is just a toy. Just a toy.+newline++newline+- It's not a toy. It's a knot. You have to untie it. Unless you're Alexander.
note_s8_beam,- I never knew a beam of light+newline+could bend like that.
note_s8_see_note,"- Do you see it now?+newline++newline+- Yes... How is it even possible.+newline+They're interlocking perfectly...+newline++newline+- Who needs god, when+newline+you have architects+newline+like that, right?"
note_s8_secret_talk,- Why does this sociopath only talk to Elizabeth?+newline++newline+- Your question is wrongly put. You wanted to ask: why doesn't he talk to us. The answer is simple: he doesn't see us. Does that make him a sociopath? Not necessarily. But that does mean he's focused.+newline++newline+
note_s8_secret_loop,"- Have you ever been to the place called the loop?+newline++newline+- Yes, of course.+newline++newline+- See, this knot is just like the loop. Well, maybe not exactly, but it serves the same purpose.+newline++newline+- In that case... What is so important in layer 5?...+newline++newline+[deleted]+newline++newline+[deleted]+newline++newline+[deleted]+newline++newline+"
note_s8_secret_regret,Murtaugh: If there's one thing I regret - it's the fact that of all people I sent to the edge no one ever came back. Not a single soul. That will haunt me for the rest of my life...+newline++newline+Liz: I know.+newline++newline+
note_s8_secret_impossible,- But that's impossible! He can't be in different dimensions at the same time!+newline++newline+- Impossible? What does that even mean?...+newline++newline+
note_s8_secret_see,"- Doesn't he understand that his karma portals are shattering this dimension?+newline++newline+- This dimension? You mean the third one? You know that's not even the original dimension, right? What do you think is more important - the original or a flawed copy?"
note_s9_neither,"- So, did you travel too far, or too early?...+newline++newline+- What if I told you - neither?"
note_s10_tele_micro,"- We're in a loop.+newline++newline+- Yes, I know, there are time anomaly leaks everywhere, but we're not in one right now. Are we?+newline++newline+- No, not a horizontal loop. A vertical one.+newline++newline+- What do you mean?+newline++newline+- Look through my microscope. And then through my telescope. You'll see."
note_s10_usher,"- I think you're ready to enter the Submachine. You know more than enough and will probably find out more on your journey. Remember, this can destroy or transform you. But you will not return the same man. May the wisdom of Thoth guide you.+newline++newline+- Thank you, holy usher. I will not fail you.+newline++newline+- Don't fail yourself, my young disciple."
note_s10_tombs,"- I've found my grave today. A proper tomb, in fact...+newline++newline+- Well, I guess that's bound to happen sooner or later if you're a time traveller.+newline++newline+- I've also found your tomb, right next to mine.+newline++newline+- Oh, that's so sweet of them."
note_s10_sub_dim,"- If there is a countless number of sub-layers, it's practically impossible for two people to end up in the same layer, right?+newline++newline+- Yes, good observation.+newline++newline+- But non-living matter can be persistent between layers. Parts of buildings, anchors, even portal stabilisers?+newline++newline+- Yes, there are special building materials mixed with just a hint of karmic water. This technique was discovered during the Fourth Dynasty.+newline++newline+- Naturally. The architects of the Plan...+newline++newline+- So you can imagine how a non-living sentient organism, powered by the super-intelligence of Shiva, was able to embrace all layers at once. The Submachine is now living in five dimensions."
note_s10_fix_all,"- You can't fix everything, just let it go. Submachine doesn't need your help. It's fine as it is.+newline++newline+- You know you're taking away my life's goal, right?+newline++newline+- We'll find you a new one, don't worry. You were part of this organism, I admit, a crucial one, but just a part nonetheless. You can't think of yourself any bit higher. That would be arrogant, and that's not you anymore.+newline++newline+- What would I do without you,+newline+my dear..."
note_s10_lamp_off,"- How will you know that they're coming?+newline++newline+- I'll keep my eye on the lighthouse. Once the lamp goes off, they'll be coming.+newline++newline+- But that lamp is behind steel curtains...+newline++newline+- Don't worry. I'll know once it's off."
note_s10_listens,To anyone who might still be looking for help on this frequency.+newline++newline++newline+I'm coming back to the shrine every 32 years.
note_s10_crown_conv,Light crown converter needed to connect light crown to the fuse outlet.
note_s10_how_he,"- So how did he escape after all?+newline++newline+- Through the lighthouse, naturally.+newline+How else?..."
note_s10_letter_liz,"Dear Elizabeth.+newline++newline+I'm so close! You won't believe how much progress I've done in the last... How long was it?... Three years? Three and a half? My lord, it feels good to be focused again. I know this sounds stupid, but as a time traveller I have to say it feels good to see time run by you.+newline++newline+Anyway, back to the subject at hand. My theory of focused karma was correct! I have scientific evidence at my laboratory. Once it doesn't penetrate any two given layers creating a portal - it actually restores previously destroyed sub-molecular order. Now, all I need is some kind of... portable karma stabiliser, and I'm good to go!+newline++newline+Just imagine - stable and secure karmic portals. Would you believe that?+newline++newline+M."
note_s10_letter_mur,"Dear Murtaugh.+newline++newline+That's great news. Please remember one thing. Submachine didn't wait for this discovery, it moved on and is healing itself, as any normal organism would. Did you see the power generator in the oldest sections of the root? The one destroyed by your portal a long time ago? Now it's being rebuilt by five karmic veins. If you haven't seen it - please do, it's remarkable proof that Submachine became a sentient being.+newline++newline++newline+L."
note_s10_lumiere,"- But how is it possible, that she knew the Submachine was sentient and reasoning? That's like the Lumiere brothers talking about retina cinema of the early 21st century.+newline++newline+- Don't forget, that's Elizabeth you're talking about. Right?+newline++newline+- ... Right..."
note_s10_sub_body,"- Wait, Submachine was already sentient that early?+newline++newline+- Of course. The mainframe of Submachine became conscious once its processing power surpassed that of the human brain. They asked the question, remember? And Shiva answered. Submachine was sentient for at least 32 days before that.+newline++newline+- Now I understand. Shiva is the brain, Submachine is the body. It's all so clear now."
note_s10_sub_layers,"- Do you know how many numbers there are between 0 and 1?+newline++newline+- ... Infinite?...+newline++newline+- Exactly. There is a countless number of sub-layers between any two main layers of reality. The important thing to remember is that as there are seven main layers, all stable, as all their sub-layers, there is also the eighth layer, known as the layer of light, which is not stable and can float freely through all other layers. Murtaugh was trapped in the eighth layer once, that's why he was unable to focus his being on a single layer. Fortunately Elizabeth managed to snap him out of this trap."
inf_s2_library,biblioteca
inf_s2_bathroom,banheiro
